"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1001","일반음식점","07_24_04_P","3240000","3240000-101-2023-00427","2023-10-24","","03","폐업","02","폐업","2024-05-07","","","","","13.10","134-861","서울특별시 강동구 천호동 25-6 조희빌딩","서울특별시 강동구 양재대로 1609, 조희빌딩 2층 9호 (천호동)","05306","파스타예요 강동천호본점","2024-05-07 15:35:32","U","2024-05-09 02:40:00","경양식","212605.500099383","449677.002959155","경양식","0","0","","","","0","0","0","0","0","","0","0","N","13.1","","","",
"1002","일반음식점","07_24_04_P","3910000","3910038-101-2023-00117","2023-10-18","","03","폐업","02","폐업","2024-11-13","","","","","129.72","451-822","경기도 평택시 포승읍 도곡리 1118-4 평택포승 골든포트 1층","경기도 평택시 포승읍 여술1길 103, 1층 (평택포승 골든포트)","17955","골든호프포차","2024-11-13 14:05:04","U","2024-11-15 02:40:00","한식","185879.624577278","387559.076617377","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","129.72","","","",
"1003","일반음식점","07_24_04_P","3910000","3910029-101-2023-00403","2023-10-18","","03","폐업","02","폐업","2024-05-16","","","","","20.28","459-812","경기도 평택시 서정동 313-21 외 1필지(313-23), 1층","경기도 평택시 서정역로55번길 7-7, 1층 (서정동)","17779","아야진생선구이","2024-05-16 09:37:52","U","2024-05-18 02:40:00","한식","204807.692135726","395165.650157233","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","20.28","","","",
"1004","일반음식점","07_24_04_P","3910000","3910000-101-2023-00415","2023-10-18","","03","폐업","02","폐업","2023-10-22","","","","","48.00","450-040","경기도 평택시 통복동 66-4","경기도 평택시 평택로110번길 50-1 (통복동)","17893","옛날닭강정","2023-10-23 04:15:08","U","2023-10-25 02:40:00","한식","207359.718629938","388519.279285704","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","48","","","",
"1005","일반음식점","07_24_04_P","5310000","5310000-101-2023-00374","2023-10-18","","03","폐업","02","폐업","2023-11-05","","","","","150.00","660-031","경상남도 진주시 충무공동 8 진주종합경기장","경상남도 진주시 동진로 415, 진주종합경기장 야외부스 A-10 (충무공동)","52830","한국생활개선진주시연합회","2023-11-06 04:15:09","U","2023-11-08 02:40:00","한식","303362.985238225","187661.286881155","한식","0","0","","","","0","0","0","0","0","","0","0","N","150","","","",
"1006","일반음식점","07_24_04_P","3490000","3490000-101-2023-00350","2023-10-18","","03","폐업","02","폐업","2024-01-30","","","","","72.56","400-320","인천광역시 중구 중산동 1947-1 오션 솔레뷰 2층 209호","인천광역시 중구 영종진광장로 32, 오션 솔레뷰 2층 209호 (중산동)","22393","크리스피 카우 CRISPY COW","2024-01-30 15:51:03","U","2024-02-01 02:40:00","기타","162730.374194168","443666.194076243","기타","0","0","","","","0","0","0","0","0","","0","0","N","72.56","","","",
"1007","일반음식점","07_24_04_P","3490000","3490000-101-2023-00348","2023-10-18","","03","폐업","02","폐업","2023-11-07","","","","","71.92","400-812","인천광역시 중구 운남동 1599-1 2층 206호","인천광역시 중구 흰바위로 228, 2층 206호 (운남동)","22376","파파양꼬치","2023-11-07 11:53:01","U","2023-11-09 02:40:00","중국식","155824.534467631","442109.782683249","중국식","0","0","","","","0","0","0","0","0","","0","0","N","71.92","","","",
"1008","일반음식점","07_24_04_P","3980000","3980000-101-2023-00192","2023-10-13","","03","폐업","02","폐업","2024-03-29","","","","","21.18","471-859","경기도 구리시 갈매동 552-6 구리갈매 아너시티","경기도 구리시 갈매순환로166번길 45, 구리갈매 아너시티 138호 (갈매동)","11901","옴마니 분식","2024-03-29 15:20:55","U","2024-03-31 02:40:00","기타","210788.805116026","459177.999364413","기타","0","0","","","","0","0","0","0","0","","0","0","N","21.18","","","",
"1009","일반음식점","07_24_04_P","6510000","6510000-101-2023-00763","2023-10-13","","03","폐업","02","폐업","2024-06-03","","","","064 7667370","97.20","695-979","제주특별자치도 제주시 구좌읍 송당리 2635-3","제주특별자치도 제주시 구좌읍 비자림로 1187, 1층","63355","광어촌","2024-06-03 15:31:59","U","2024-06-05 02:40:00","일식","174956.234994829","-6671.37367939095","일식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","97.2","","","",
"1010","일반음식점","07_24_04_P","6510000","6510000-101-2023-00762","2023-10-13","","03","폐업","02","폐업","2023-10-14","","","","","25.00","695-978","제주특별자치도 제주시 구좌읍 상도리 471-31","","","구좌읍새마을부녀회","2023-10-15 04:15:08","U","2023-10-17 02:40:00","한식","187224.910475248","2890.74397484318","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","25","","","",
